xrun(64): 22.09-s003: (c) Copyright 1995-2022 Cadence Design Systems, Inc.
TOOL:	xrun(64)	22.09-s003: Started on Nov 27, 2024 at 12:33:13 IST
xrun
	controller1.v
	memory.v
	tb_bist_memory.v
	-access +rwc
	-gui
Recompiling... reason: file './controller1.v' is newer than expected.
	expected: Wed Nov 27 12:29:57 2024
	actual:   Wed Nov 27 12:33:05 2024
file: controller1.v
	module worklib.controller1:v
		errors: 0, warnings: 0
		Caching library 'worklib' ....... Done
	Elaborating the design hierarchy:
	Top level design units:
		tb_bist_memory
	Building instance overlay tables: .................... Done
	Generating native compiled code:
		worklib.tb_bist_memory:v <0x0d1d8358>
			streams:   7, words:  7823
		worklib.controller1:v <0x06b86b99>
			streams:  28, words: 17551
	Building instance specific data structures.
	Loading native compiled code:     .................... Done
	Design hierarchy summary:
		              Instances  Unique
		Modules:              3       3
		Registers:           20      20
		Scalar wires:         5       -
		Vectored wires:       3       -
		Always blocks:        6       6
		Initial blocks:       4       4
		Pseudo assignments:   6       6
	Writing initial simulation snapshot: worklib.tb_bist_memory:v
xmsim: *W,NOMTDGUI: Multi-Threaded Dumping is disabled for interactive debug mode.

-------------------------------------
Relinquished control to SimVision...
xcelium> 
xcelium> source /home/install/XCELIUM2209/tools/xcelium/files/xmsimrc
xcelium> database -open waves -into waves.shm -default
Created default SHM database waves
xcelium> probe -create -shm tb_bist_memory.dut.CA tb_bist_memory.dut.Test tb_bist_memory.dut.clk tb_bist_memory.dut.comp_en tb_bist_memory.dut.count tb_bist_memory.dut.datain tb_bist_memory.dut.dataout tb_bist_memory.dut.element_done tb_bist_memory.dut.element_operation tb_bist_memory.dut.fresh_state tb_bist_memory.dut.nextstate tb_bist_memory.dut.orig tb_bist_memory.dut.re tb_bist_memory.dut.rst tb_bist_memory.dut.state tb_bist_memory.dut.status tb_bist_memory.dut.we
Created probe 1
xcelium> run
Time=0: state=0000, count= 0, CA= x, datain=xxxxxxxx, dataout=xxxxxxxx, status=x
Time=5: state=0000, count= 0, CA= 0, datain=00000000, dataout=xxxxxxxx, status=0
Time=15: state=0000, count= 1, CA= 1, datain=00000000, dataout=xxxxxxxx, status=0
Time=25: state=0000, count= 2, CA= 2, datain=00000000, dataout=xxxxxxxx, status=0
Time=35: state=0000, count= 3, CA= 3, datain=00000000, dataout=xxxxxxxx, status=0
Time=45: state=0000, count= 4, CA= 4, datain=00000000, dataout=xxxxxxxx, status=0
Time=55: state=0000, count= 5, CA= 5, datain=00000000, dataout=xxxxxxxx, status=0
Time=65: state=0000, count= 6, CA= 6, datain=00000000, dataout=xxxxxxxx, status=0
Time=75: state=0000, count= 7, CA= 7, datain=00000000, dataout=xxxxxxxx, status=0
Time=85: state=0000, count= 8, CA= 8, datain=00000000, dataout=xxxxxxxx, status=0
Time=95: state=0000, count= 9, CA= 9, datain=00000000, dataout=xxxxxxxx, status=0
Time=105: state=0000, count=10, CA=10, datain=00000000, dataout=xxxxxxxx, status=0
Time=115: state=0000, count=11, CA=11, datain=00000000, dataout=xxxxxxxx, status=0
Time=125: state=0000, count=12, CA=12, datain=00000000, dataout=xxxxxxxx, status=0
Time=135: state=0000, count=13, CA=13, datain=00000000, dataout=xxxxxxxx, status=0
Time=145: state=0000, count=14, CA=14, datain=00000000, dataout=xxxxxxxx, status=0
Time=155: state=0000, count=15, CA=15, datain=00000000, dataout=xxxxxxxx, status=0
Time=165: state=0000, count=16, CA= 0, datain=00000000, dataout=xxxxxxxx, status=0
Time=175: state=0001, count= 0, CA= 1, datain=00000000, dataout=xxxxxxxx, status=0
Time=185: state=0001, count= 0, CA= 0, datain=00000000, dataout=xxxxxxxx, status=0
Time=195: state=0001, count= 0, CA= 0, datain=00000000, dataout=00000000, status=0
Time=205: state=0001, count= 0, CA= 0, datain=11111111, dataout=00000000, status=0
Time=235: state=0001, count= 0, CA= 0, datain=11111111, dataout=11111111, status=1
Time=245: state=0001, count= 0, CA= 0, datain=11111111, dataout=11111111, status=0
